,Expected_Return
CHO.BK,0.03668944038887153
MORE.BK,0.004948926692881194
TMW.BK,0.0024166269562187447
UREKA.BK,0.0022190601759938503
TRT.BK,0.001921990206851506
KGEN.BK,0.0017618474546908004
ECF.BK,0.0013865363369885643
EFORL.BK,0.0010872522322106083
BSM.BK,0.0009858213692640891
PHOL.BK,0.0009182441601336922
DV8.BK,0.0007160249948353578
CHOW.BK,0.0005494053196640409
MOONG.BK,0.0003783007786469722
DIMET.BK,0.00017401597686806273
JUBILE.BK,0.00010463064092589017
WINNER.BK,-5.823633807093995e-05
SANKO.BK,-0.00010518046273582423
NPK.BK,-0.0001303126544149433
TNDT.BK,-0.0001785144997537386
CPR.BK,-0.0002362284641110003
UEC.BK,-0.00023899722547090238
YUASA.BK,-0.00025507940915119075
ARROW.BK,-0.0003519487309493598
PPM.BK,-0.0004636328847507882
SIMAT.BK,-0.0004902598838845363
QLT.BK,-0.0005939708949531868
CMO.BK,-0.000607289468607135
AF.BK,-0.0007059363264852597
TNH.BK,-0.0008104877643476821
UBIS.BK,-0.00086216926533194
UKEM.BK,-0.0009194754027993048
FPI.BK,-0.0009331266600369022
A5.BK,-0.0009367742923963786
IRCP.BK,-0.0009827465319408961
TMILL.BK,-0.0010030542238000574
AUCT.BK,-0.0010054384295016927
MBAX.BK,-0.0010059263510204704
COLOR.BK,-0.001079136257151358
KASET.BK,-0.0011334028440915494
BGT.BK,-0.001134827389498199
JCKH.BK,-0.0012131132537583796
PICO.BK,-0.00125291342770487
META.BK,-0.0013545001857702824
ARIP.BK,-0.001482140353351398
TAPAC.BK,-0.0015681670070347392
CIG.BK,-0.001573934796329692
SWC.BK,-0.0015848451915302013
TVDH.BK,-0.0017754326015721386
PSG.BK,-0.0017943709374922284
SALEE.BK,-0.001821511954223848
PPS.BK,-0.0018230653801708805
UMS.BK,-0.001936556109873832
TMI.BK,-0.0020006302269314205
THANA.BK,-0.0020530845499391664
TMC.BK,-0.002076925176019983
GTV.BK,-0.002241859700014893
GCAP.BK,-0.0023505194020769587
STOWER.BK,-0.0024359068486148427
AKP.BK,-0.002449603099865654
SGF.BK,-0.0026824591788376395
BOL.BK,-0.0030054849153001496
SPVI.BK,-0.003028780364496425
FVC.BK,-0.0030593548931708288
HYDRO.BK,-0.004235530943372013
NEWS.BK,-0.12901407036980167
