,BL_Expected_Return
CHO.BK,0.0026260937938532825
MORE.BK,0.002700766733589779
TMW.BK,0.00010567151349475229
UREKA.BK,0.00036875934823243456
TRT.BK,0.00018315358688897947
KGEN.BK,0.0008572469876344826
ECF.BK,0.00045523929541502065
EFORL.BK,0.00063112051580554
BSM.BK,3.0033281529250936e-05
PHOL.BK,7.339541430019857e-05
DV8.BK,0.0005912315505230422
CHOW.BK,0.0004527975187259165
MOONG.BK,5.6092438074280936e-05
DIMET.BK,0.00038639727598496293
JUBILE.BK,0.0001612615409529936
WINNER.BK,5.08429509368736e-05
SANKO.BK,0.0004582658657976692
NPK.BK,0.00022435178854711066
TNDT.BK,0.0006567918947498541
CPR.BK,0.00014619360665602148
