,Implied_Return
SPVI.BK,0.00032088232171887553
HYDRO.BK,0.0006019258664039376
BOL.BK,0.00015517333375810163
YUASA.BK,0.00017244589357973112
AUCT.BK,0.000306582503085663
CHO.BK,0.00019181370978896625
PHOL.BK,0.0001620754526859811
ECF.BK,0.00017711772987642982
NEWS.BK,0.005574609363973951
PICO.BK,5.972793954816074e-05
ARROW.BK,8.286804847081877e-05
TMILL.BK,7.870470925057549e-05
TAPAC.BK,0.00022903509133028155
UBIS.BK,8.155948618700119e-05
PSG.BK,0.0019488968958160185
NPK.BK,0.0002193380986070032
FPI.BK,9.86419978022515e-05
PPM.BK,0.00026435764428719787
KGEN.BK,0.0005964242632188871
CMO.BK,0.00018338320694645343
