,SPVI.BK,HYDRO.BK,BOL.BK,YUASA.BK,AUCT.BK,CHO.BK,PHOL.BK,ECF.BK,NEWS.BK,PICO.BK,ARROW.BK,TMILL.BK,TAPAC.BK,UBIS.BK,PSG.BK,NPK.BK,FPI.BK,PPM.BK,KGEN.BK,CMO.BK
SPVI.BK,0.001117579811434182,8.543451809005078e-05,0.0001421987365397251,9.096166043547071e-05,0.0001507658778721327,4.887963424675149e-05,0.00011665298761739822,-2.4923376311112134e-06,0.0001364847575830021,4.253147246651823e-05,4.5206542888689455e-05,3.380475100514982e-06,6.627230270037867e-05,1.9678440751461495e-05,9.703644831542327e-07,6.852870476429656e-05,-1.991418718449419e-05,3.4931323189188304e-05,-6.626548604300625e-05,5.742987882177305e-05
HYDRO.BK,8.543451809005078e-05,0.0027021234611668368,1.6016426817595184e-05,-3.410389519572695e-05,8.393561510087406e-05,7.043220921926854e-05,-5.9135351659841447e-05,1.066502131005634e-05,0.0009070095793113538,4.726764868069563e-05,1.8782265307272073e-05,-1.2131878895910387e-05,-5.732679257692181e-05,1.0172490855583828e-05,0.0002949693389588925,2.9705520904353768e-05,2.2832492044579165e-05,5.4324914294689366e-05,-0.00023551356699644114,5.737909262246522e-05
BOL.BK,0.0001421987365397251,1.6016426817595184e-05,0.0003180953756342929,3.495348201400079e-05,0.0001433789254620864,3.5089625742378556e-05,3.5599822630706246e-05,1.3500924332550452e-05,0.000145957681427798,9.469157302004181e-06,2.053278809642099e-05,8.143323866166514e-06,-4.7104534049003045e-06,2.0532852564640074e-05,1.8271288360403394e-05,4.254834337894414e-05,9.16518770115191e-06,-1.2517949037835085e-05,2.7527152882796818e-05,1.0736199410053562e-05
YUASA.BK,9.096166043547071e-05,-3.410389519572695e-05,3.495348201400079e-05,0.0005919440744768088,8.42606401044317e-05,4.6758304875889103e-05,8.832422989900484e-05,6.72811882483728e-05,-0.00023845518698263063,2.442719122451614e-05,2.723078295696917e-05,4.46988063720871e-05,3.3347167108067934e-05,1.2724383281153823e-05,9.637900719110814e-05,2.3980839313909244e-05,-4.859615323175283e-05,0.00015163727233144923,6.929096328401715e-05,-1.7405467175578117e-05
AUCT.BK,0.0001507658778721327,8.393561510087406e-05,0.0001433789254620864,8.42606401044317e-05,0.000751384872217382,4.974810884244245e-05,7.047778585536909e-06,-6.758335524317265e-05,0.0002926089494960374,1.3545463185290864e-05,9.820814149167952e-05,4.2084696168391854e-05,6.683063606342212e-05,3.5159622825844406e-05,0.00018389004552364256,1.6870285298270407e-05,1.834014752141987e-05,6.252879708061559e-05,-2.0021490942899588e-05,3.089959725127242e-05
CHO.BK,4.887963424675149e-05,7.043220921926854e-05,3.5089625742378556e-05,4.6758304875889103e-05,4.974810884244245e-05,0.0002873664124231653,2.1456742547907777e-05,-1.0305416553209147e-06,0.0002584654475271196,3.368874851553034e-05,1.566691941985802e-05,3.429861505776217e-05,2.357760571777934e-05,1.6497686717025544e-05,6.013282211739938e-05,3.3660478841911746e-05,1.8914574488047214e-05,0.0001395356249476372,6.676815765044777e-05,1.8850888016896352e-05
PHOL.BK,0.00011665298761739822,-5.9135351659841447e-05,3.5599822630706246e-05,8.832422989900484e-05,7.047778585536909e-06,2.1456742547907777e-05,0.0006412186512768458,0.00013721947987824267,-0.00019881065743594054,-1.1476423972738608e-06,3.4029963688358e-06,2.548714489790509e-06,3.4463373885454035e-05,-2.248783559370684e-05,5.7098730227622525e-05,-1.5033680016684339e-06,3.734447372181296e-05,-2.9119221652248944e-05,0.0001149225271544424,9.540658636380865e-05
ECF.BK,-2.4923376311112134e-06,1.066502131005634e-05,1.3500924332550452e-05,6.72811882483728e-05,-6.758335524317265e-05,-1.0305416553209147e-06,0.00013721947987824267,0.0009540569923861709,0.00014846738179543587,-0.00012972248410004196,-1.7528666009867287e-05,-2.8256616405358673e-05,9.12206612430466e-05,-9.070795682273602e-06,-0.00013245023526957722,-3.518258012914394e-06,4.276182832586172e-05,1.1603859218191952e-05,9.98777122976756e-05,-4.216893183071118e-06
NEWS.BK,0.0001364847575830021,0.0009070095793113538,0.000145957681427798,-0.00023845518698263063,0.0002926089494960374,0.0002584654475271196,-0.00019881065743594054,0.00014846738179543587,0.035736174588957115,-8.227365432529497e-05,5.601502096639573e-05,2.849393910344122e-06,0.00036800750930988724,-0.0002552904300683934,-7.707362700207462e-20,-0.00016827893420714445,5.671359899217466e-07,-7.623140756871249e-05,0.0002273794071139341,-9.658415630704592e-05
PICO.BK,4.253147246651823e-05,4.726764868069563e-05,9.469157302004181e-06,2.442719122451614e-05,1.3545463185290864e-05,3.368874851553034e-05,-1.1476423972738608e-06,-0.00012972248410004196,-8.227365432529497e-05,0.00036333096864419364,1.609567365812762e-05,1.8376998843812797e-05,-5.919990241198621e-05,3.1496833367097354e-05,-5.7724523288689796e-05,-1.947806918150634e-05,1.094181742363415e-05,8.553072798578578e-05,4.16793219876216e-06,4.6861905863280875e-05
ARROW.BK,4.5206542888689455e-05,1.8782265307272073e-05,2.053278809642099e-05,2.723078295696917e-05,9.820814149167952e-05,1.566691941985802e-05,3.4029963688358e-06,-1.7528666009867287e-05,5.601502096639573e-05,1.609567365812762e-05,0.0001678037299044484,4.310218012136193e-06,5.4134143034447636e-05,4.808026749400234e-06,-3.680519111953326e-05,1.0194616114610598e-05,9.151528017147013e-06,2.8637468965480978e-05,2.5723143382288993e-06,2.4034337311425794e-05
TMILL.BK,3.380475100514982e-06,-1.2131878895910387e-05,8.143323866166514e-06,4.46988063720871e-05,4.2084696168391854e-05,3.429861505776217e-05,2.548714489790509e-06,-2.8256616405358673e-05,2.849393910344122e-06,1.8376998843812797e-05,4.310218012136193e-06,0.00010279019260350882,3.4937632259170794e-06,2.3657550885014662e-05,0.00012282339053536502,2.998341662317819e-05,1.2221080615307095e-05,4.147179597834903e-05,5.684211059731036e-05,1.1112014086889647e-05
TAPAC.BK,6.627230270037867e-05,-5.732679257692181e-05,-4.7104534049003045e-06,3.3347167108067934e-05,6.683063606342212e-05,2.357760571777934e-05,3.4463373885454035e-05,9.12206612430466e-05,0.00036800750930988724,-5.919990241198621e-05,5.4134143034447636e-05,3.4937632259170794e-06,0.0006486431382968999,-1.092964650784172e-05,0.00017202517170063921,3.4785805334323954e-05,1.16303378591477e-05,7.562283860068008e-05,-2.1806818378047764e-05,-3.1802319316235013e-06
UBIS.BK,1.9678440751461495e-05,1.0172490855583828e-05,2.0532852564640074e-05,1.2724383281153823e-05,3.5159622825844406e-05,1.6497686717025544e-05,-2.248783559370684e-05,-9.070795682273602e-06,-0.0002552904300683934,3.1496833367097354e-05,4.808026749400234e-06,2.3657550885014662e-05,-1.092964650784172e-05,0.0003372132661646893,3.5547287331591195e-05,4.788171211295516e-05,4.063842834324554e-05,5.932254183807821e-05,8.785417095273003e-05,5.832332102504184e-05
PSG.BK,9.703644831542327e-07,0.0002949693389588925,1.8271288360403394e-05,9.637900719110814e-05,0.00018389004552364256,6.013282211739938e-05,5.7098730227622525e-05,-0.00013245023526957722,-7.707362700207462e-20,-5.7724523288689796e-05,-3.680519111953326e-05,0.00012282339053536502,0.00017202517170063921,3.5547287331591195e-05,0.011256717955716894,0.00028446658392524457,0.00010456474530074012,0.00012431090986456033,0.0003554541148996446,5.20041656481324e-05
NPK.BK,6.852870476429656e-05,2.9705520904353768e-05,4.254834337894414e-05,2.3980839313909244e-05,1.6870285298270407e-05,3.3660478841911746e-05,-1.5033680016684339e-06,-3.518258012914394e-06,-0.00016827893420714445,-1.947806918150634e-05,1.0194616114610598e-05,2.998341662317819e-05,3.4785805334323954e-05,4.788171211295516e-05,0.00028446658392524457,0.0009400160951794213,7.028572690969872e-06,-4.933705304878772e-05,7.910677785778254e-05,5.561192082522517e-05
FPI.BK,-1.991418718449419e-05,2.2832492044579165e-05,9.16518770115191e-06,-4.859615323175283e-05,1.834014752141987e-05,1.8914574488047214e-05,3.734447372181296e-05,4.276182832586172e-05,5.671359899217466e-07,1.094181742363415e-05,9.151528017147013e-06,1.2221080615307095e-05,1.16303378591477e-05,4.063842834324554e-05,0.00010456474530074012,7.028572690969872e-06,0.00030279806273997517,-6.505815716407129e-06,5.995527122538574e-05,2.377379080609903e-05
PPM.BK,3.4931323189188304e-05,5.4324914294689366e-05,-1.2517949037835085e-05,0.00015163727233144923,6.252879708061559e-05,0.0001395356249476372,-2.9119221652248944e-05,1.1603859218191952e-05,-7.623140756871249e-05,8.553072798578578e-05,2.8637468965480978e-05,4.147179597834903e-05,7.562283860068008e-05,5.932254183807821e-05,0.00012431090986456033,-4.933705304878772e-05,-6.505815716407129e-06,0.0010000717585627384,8.052345699300246e-05,-1.3957547578284577e-05
KGEN.BK,-6.626548604300625e-05,-0.00023551356699644114,2.7527152882796818e-05,6.929096328401715e-05,-2.0021490942899588e-05,6.676815765044777e-05,0.0001149225271544424,9.98777122976756e-05,0.0002273794071139341,4.16793219876216e-06,2.5723143382288993e-06,5.684211059731036e-05,-2.1806818378047764e-05,8.785417095273003e-05,0.0003554541148996446,7.910677785778254e-05,5.995527122538574e-05,8.052345699300246e-05,0.0030207361102874515,-3.3209062580504906e-05
CMO.BK,5.742987882177305e-05,5.737909262246522e-05,1.0736199410053562e-05,-1.7405467175578117e-05,3.089959725127242e-05,1.8850888016896352e-05,9.540658636380865e-05,-4.216893183071118e-06,-9.658415630704592e-05,4.6861905863280875e-05,2.4034337311425794e-05,1.1112014086889647e-05,-3.1802319316235013e-06,5.832332102504184e-05,5.20041656481324e-05,5.561192082522517e-05,2.377379080609903e-05,-1.3957547578284577e-05,-3.3209062580504906e-05,0.0008486843736801393
