,Expected_Return
SPVI.BK,0.0041023197963664
HYDRO.BK,0.003292128854151561
BOL.BK,0.002698045410698658
YUASA.BK,0.0020456230346466457
AUCT.BK,0.0014126293529431815
CHO.BK,0.0013776358691515195
PHOL.BK,0.0011013283276702607
ECF.BK,0.0010163376649630982
NEWS.BK,0.0008905604342923779
PICO.BK,0.0007158675289175678
ARROW.BK,0.0006538650528415073
TMILL.BK,0.000619109542535527
TAPAC.BK,0.0005261085077630529
UBIS.BK,0.0005030362351910563
PSG.BK,0.0004212824243104893
NPK.BK,0.00041678227710016105
FPI.BK,0.000351197504970735
PPM.BK,0.00023151298956209198
KGEN.BK,0.00023030417660858347
CMO.BK,0.0001519338138900137
QLT.BK,8.165205505569173e-05
SIMAT.BK,4.064303371290768e-05
JCKH.BK,3.9408275140406064e-05
ARIP.BK,3.505242970219356e-05
DV8.BK,1.7629411395261136e-05
GCAP.BK,1.346318344036149e-05
TRT.BK,1.1527521228867882e-05
AF.BK,-5.260927967050662e-05
TNDT.BK,-5.4125828595605e-05
THANA.BK,-8.552255009747998e-05
UEC.BK,-0.00011142372079567581
BGT.BK,-0.00015116863946558557
TMI.BK,-0.00015927428668967885
PPS.BK,-0.00024358683883687608
MORE.BK,-0.0003072732884308206
AKP.BK,-0.0003970716526581536
EFORL.BK,-0.00046673654207449633
WELL.BK,-0.00047895422470590544
JUBILE.BK,-0.0004879850276278601
GTV.BK,-0.0005354946506917052
SGF.BK,-0.0005403760856414751
IRCP.BK,-0.0005597580910770051
COLOR.BK,-0.0005606173433663886
MBAX.BK,-0.0006085075043430504
SALEE.BK,-0.0006616902854677095
WINNER.BK,-0.0007353502432750239
CIG.BK,-0.0007410633027439682
SANKO.BK,-0.0009240848970089164
META.BK,-0.0010189477744941254
TVDH.BK,-0.0010233137770360925
TMC.BK,-0.0012628950451929301
UKEM.BK,-0.0013330494454522478
STOWER.BK,-0.0013523348623445347
CPR.BK,-0.001464370289458999
FVC.BK,-0.001490912152275796
KASET.BK,-0.0015475783254349745
BSM.BK,-0.0015693196144027054
DIMET.BK,-0.0017727432311255241
TNH.BK,-0.001805173495776865
ACAP.BK,-0.001851415393514604
MOONG.BK,-0.0022231006381726094
UMS.BK,-0.0022418708043443194
UREKA.BK,-0.002272014449402641
CHOW.BK,-0.0033230430924496906
SWC.BK,-0.0039508393543437265
TMW.BK,-0.005019435130049394
A5.BK,-0.009712025822773715
